Year,Team,Average_Driver_Experience_Years,Average_Qualifying_Position,Average_Race_Position,Average_Pit_Stops,Average_Fastest_Lap_Time_Delta_Seconds,Constructor_Points
2018,Mercedes,11.5,3.2,3.0,2.2,0.5,655
2018,Ferrari,8.0,4.5,4.2,2.3,1.0,576
2018,Red Bull,5.5,5.8,5.5,2.4,1.2,419
2018,McLaren,7.0,10.5,11.0,2.5,2.0,62
2019,Mercedes,12.5,2.8,2.5,2.1,0.3,739
2019,Ferrari,9.0,4.0,4.0,2.3,0.8,504
2019,Red Bull,6.5,5.5,5.2,2.4,1.1,417
2019,McLaren,5.5,9.0,8.5,2.5,1.8,145
2020,Mercedes,13.5,2.5,2.3,2.0,0.2,573
2020,Ferrari,10.0,7.5,7.8,2.4,1.5,131
2020,Red Bull,7.5,5.0,4.8,2.3,0.9,319
2020,McLaren,6.5,8.5,7.5,2.4,1.7,202
2021,Mercedes,14.5,3.0,3.0,2.2,0.4,613
2021,Red Bull,8.5,3.8,3.5,2.2,0.6,585
2021,Ferrari,8.5,6.5,6.0,2.3,1.3,323
2021,McLaren,7.5,7.5,7.0,2.4,1.6,275
2022,Red Bull,9.5,3.5,2.8,2.1,0.3,759
2022,Ferrari,9.5,4.5,4.0,2.2,0.7,554
2022,Mercedes,15.5,5.0,4.8,2.3,1.0,515
2022,McLaren,8.5,8.0,7.8,2.4,1.5,159
2023,Red Bull,10.5,2.5,2.0,2.0,0.1,860
2023,Mercedes,16.5,4.8,4.5,2.2,0.9,409
2023,Ferrari,10.5,5.5,5.0,2.3,1.1,406
2023,McLaren,9.5,6.5,6.0,2.3,1.4,302
2024,McLaren,10.5,3.5,3.0,2.1,0.5,704
2024,Red Bull,11.5,4.0,3.8,2.2,0.8,664
2024,Ferrari,11.5,4.5,4.2,2.2,0.9,622
2024,Mercedes,17.5,5.5,5.0,2.3,1.2,472